#   E (cm^-1)     g  stage
       0.000   2.00      0
   16464.767   6.00      0
   25115.031   2.00      0
   28407.589  10.00      0
   29568.719   6.00      0
   32462.822   2.00      0
   33756.405  10.00      0
   33788.668  14.00      0
   34283.473   6.00      0
   35601.638   2.00      0
   36239.102  10.00      0
   36258.087  14.00      0
   36518.274   6.00      0
   37227.726   2.00      0
   37587.993  10.00      0
   37599.735  14.00      0
   37752.599   6.00      0
   38177.721   2.00      0
   38401.037  10.00      0
   38408.609  14.00      0
   38505.946   6.00      0
   38780.618   2.00      0
   38928.434  10.00      0
   38933.702  14.00      0
   38999.325   6.00      0
   39186.976   2.00      0
   39289.909  10.00      0
   39293.640  14.00      0
   39340.059   6.00      0
   39473.829   2.00      0
   39548.341  10.00      0
   41449.594   1.00      1
  317746.188   9.00      1
  320979.031   3.00      1
  344916.031   3.00      1
  348948.875  15.00      1
  350445.656   5.00      1
  351052.531   3.00      1
  687638.812   6.00      2
