#   E (cm^-1)     g  stage   level
       0.000   1.00      0       0
  159850.172   3.00      0       1
  166272.000   1.00      0       2
  169081.281   9.00      0       3
  171128.984   3.00      0       4
  183230.844   3.00      0       5
  184859.312   1.00      0       6
  185559.469   9.00      0       7
  186096.062  15.00      0       8
  186099.375   5.00      0       9
  186203.625   3.00      0      10
  190292.438   3.00      0      11
  190934.406   1.00      0      12
  191210.938   9.00      0      13
  191439.172  15.00      0      14
  191440.281   5.00      0      15
  198305.469   2.00      1      16
  527484.938   2.00      1      17
  527488.250   6.00      1      18
  588446.250   2.00      1      19
  588447.375   6.00      1      20
  588448.438  10.00      1      21
  637213.625   1.00      2      22
