#   E (cm^-1)     g  stage   level
       0.000   9.00      0       0
   10172.700   5.00      0       1
   21628.080   1.00      0       2
   90832.200   6.00      1       3
   90895.620   4.00      1       4
  133835.500   2.00      1       5
  133857.500   4.00      1       6
  133885.800   6.00      1       7
  165762.300   6.00      1       8
  165764.820   4.00      1       9
  236381.470   4.00      1      10
  287492.726   1.00      2      11
  339859.921   1.00      2      12
  339883.621   3.00      2      13
  339940.027   5.00      2      14
  389845.046   3.00      2      15
  424918.851   1.00      2      16
  424947.492   3.00      2      17
  424995.117   5.00      2      18
  525706.429   3.00      2      19
  673724.241   2.00      3      20
  738315.343   4.00      3      21
  993805.929   4.00      3      22
 1193882.971   2.00      4      23
